lat,lon,queried_at_utc,wind_speed_100m_ms,wind_direction_100m,expected_power_kw,in_operating_range
50.75,3.35,2026-06-18T21:00,7.9,135,1445.4606357515047,True
50.75,3.55,2026-06-18T21:00,7.0,115,1013.3090870075883,True
50.75,3.75,2026-06-18T21:00,7.0,144,1013.3090870075883,True
50.75,3.95,2026-06-18T21:00,8.0,107,1494.6742644502956,True
50.75,4.15,2026-06-18T21:00,0.9,163,0.0,False
50.75,4.35,2026-06-18T21:00,4.7,237,277.8840956263351,True
50.75,4.55,2026-06-18T21:00,4.1,239,159.53424413116076,True
50.75,4.75,2026-06-18T21:00,6.8,221,931.9742656266429,True
50.75,4.95,2026-06-18T21:00,8.4,254,1683.6902386600952,True
50.75,5.15,2026-06-18T21:00,8.1,258,1541.9282580027452,True
50.75,5.35,2026-06-18T21:00,13.9,243,3515.732006719772,True
50.75,5.55,2026-06-18T21:00,16.2,241,3504.023729116894,True
50.75,5.75,2026-06-18T21:00,15.5,246,3495.992227147488,True
50.75,5.95,2026-06-18T21:00,1.8,109,0.0,False
50.75,6.15,2026-06-18T21:00,1.5,86,0.0,False
50.75,6.35,2026-06-18T21:00,1.2,195,0.0,False
50.75,6.55,2026-06-18T21:00,1.7,207,0.0,False
50.75,6.75,2026-06-18T21:00,1.0,163,0.0,False
50.75,6.95,2026-06-18T21:00,2.2,201,0.0,False
50.75,7.15,2026-06-18T21:00,7.0,173,1013.3090870075883,True
50.95,3.35,2026-06-18T21:00,7.2,154,1107.4279005870892,True
50.95,3.55,2026-06-18T21:00,8.5,169,1730.9442322125449,True
50.95,3.75,2026-06-18T21:00,7.4,180,1201.54671416659,True
50.95,3.95,2026-06-18T21:00,11.9,142,3320.6239598690495,True
50.95,4.15,2026-06-18T21:00,12.3,170,3417.0022320669977,True
50.95,4.35,2026-06-18T21:00,10.1,198,2538.10485353445,True
50.95,4.55,2026-06-18T21:00,8.3,224,1636.4362451076454,True
50.95,4.75,2026-06-18T21:00,8.1,218,1541.9282580027452,True
50.95,4.95,2026-06-18T21:00,9.7,247,2334.4885360747335,True
50.95,5.15,2026-06-18T21:00,11.9,256,3320.6239598690495,True
50.95,5.35,2026-06-18T21:00,14.1,254,3500.4932964261934,True
50.95,5.55,2026-06-18T21:00,0.9,202,0.0,False
50.95,5.75,2026-06-18T21:00,5.6,42,502.7534326815066,True
50.95,5.95,2026-06-18T21:00,2.5,64,0.0,False
50.95,6.15,2026-06-18T21:00,3.8,55,119.28447849570006,True
50.95,6.35,2026-06-18T21:00,2.3,42,0.0,False
50.95,6.55,2026-06-18T21:00,3.3,128,80.29779070404803,True
50.95,6.75,2026-06-18T21:00,3.6,116,97.5680990120513,True
50.95,6.95,2026-06-18T21:00,4.5,129,233.66778873840877,True
50.95,7.15,2026-06-18T21:00,8.3,138,1636.4362451076454,True
51.15,3.35,2026-06-18T21:00,8.1,169,1541.9282580027452,True
51.15,3.55,2026-06-18T21:00,8.9,177,1941.7948913100477,True
51.15,3.75,2026-06-18T21:00,8.9,175,1941.7948913100477,True
51.15,3.95,2026-06-18T21:00,10.4,180,2687.389743703584,True
51.15,4.15,2026-06-18T21:00,8.1,170,1541.9282580027452,True
51.15,4.35,2026-06-18T21:00,11.8,176,3288.2985725373346,True
