lat,lon,queried_at_utc,wind_speed_100m_ms,wind_direction_100m
50.75,3.35,2026-06-18T21:00,7.9,135
50.75,3.55,2026-06-18T21:00,7.0,115
50.75,3.75,2026-06-18T21:00,7.0,144
50.75,3.95,2026-06-18T21:00,8.0,107
50.75,4.15,2026-06-18T21:00,0.9,163
50.75,4.35,2026-06-18T21:00,4.7,237
50.75,4.55,2026-06-18T21:00,4.1,239
50.75,4.75,2026-06-18T21:00,6.8,221
50.75,4.95,2026-06-18T21:00,8.4,254
50.75,5.15,2026-06-18T21:00,8.1,258
50.75,5.35,2026-06-18T21:00,13.9,243
50.75,5.55,2026-06-18T21:00,16.2,241
50.75,5.75,2026-06-18T21:00,15.5,246
50.75,5.95,2026-06-18T21:00,1.8,109
50.75,6.15,2026-06-18T21:00,1.5,86
50.75,6.35,2026-06-18T21:00,1.2,195
50.75,6.55,2026-06-18T21:00,1.7,207
50.75,6.75,2026-06-18T21:00,1.0,163
50.75,6.95,2026-06-18T21:00,2.2,201
50.75,7.15,2026-06-18T21:00,7.0,173
50.95,3.35,2026-06-18T21:00,7.2,154
50.95,3.55,2026-06-18T21:00,8.5,169
50.95,3.75,2026-06-18T21:00,7.4,180
50.95,3.95,2026-06-18T21:00,11.9,142
50.95,4.15,2026-06-18T21:00,12.3,170
50.95,4.35,2026-06-18T21:00,10.1,198
50.95,4.55,2026-06-18T21:00,8.3,224
50.95,4.75,2026-06-18T21:00,8.1,218
50.95,4.95,2026-06-18T21:00,9.7,247
50.95,5.15,2026-06-18T21:00,11.9,256
50.95,5.35,2026-06-18T21:00,14.1,254
50.95,5.55,2026-06-18T21:00,0.9,202
50.95,5.75,2026-06-18T21:00,5.6,42
50.95,5.95,2026-06-18T21:00,2.5,64
50.95,6.15,2026-06-18T21:00,3.8,55
50.95,6.35,2026-06-18T21:00,2.3,42
50.95,6.55,2026-06-18T21:00,3.3,128
50.95,6.75,2026-06-18T21:00,3.6,116
50.95,6.95,2026-06-18T21:00,4.5,129
50.95,7.15,2026-06-18T21:00,8.3,138
51.15,3.35,2026-06-18T21:00,8.1,169
51.15,3.55,2026-06-18T21:00,8.9,177
51.15,3.75,2026-06-18T21:00,8.9,175
51.15,3.95,2026-06-18T21:00,10.4,180
51.15,4.15,2026-06-18T21:00,8.1,170
51.15,4.35,2026-06-18T21:00,11.8,176
51.15,4.55,2026-06-18T21:00,10.7,236
51.15,4.75,2026-06-18T21:00,9.8,210
51.15,4.95,2026-06-18T21:00,6.1,222
51.15,5.15,2026-06-18T21:00,4.9,323
51.15,5.35,2026-06-18T21:00,5.5,342
51.15,5.55,2026-06-18T21:00,5.6,9
51.15,5.75,2026-06-18T21:00,6.9,44
